Approximate location,Precise location,Name,Email address,User IDs,Address,Phone number,Race and ethnicity,Political or religious beliefs,Sexual orientation,Other info,User payment info,Purchase history,Credit score,Other financial info,Health info,Fitness info,Emails,SMS or MMS,Other in-app messages,Photos,Videos,Voice or sound recordings,Music files,Other audio files,Files and docs,Calendar,Contacts,App interactions,In-app search history,Installed apps,Other user-generated content,Other actions,Web browsing history,Crash logs,Diagnostics,Other app performance data,Device or other IDs,App Name,Genre,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Live Talk - Girl Video Call,Dating,,
0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0,0,0,0.125,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,Jalebi - the dating app,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girls Phone Numbers For w,Dating,,
0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0,0.25,0,0,0,0.125,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,Arike - Where Malayalis Date,Dating,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,Random Video Call - Live Talk,Dating,,
0.75,0.125,0.25,0.125,0.25,0,0,0.125,0.125,0,0,0,0.25,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0.25,0.25,0.625,Dating and Chat - Evermatch,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Online Video Call,Dating,,
0.25,0,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.25,0.25,0.25,0.25,CUPI CHAT: dating,Dating, meet,Dating
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stranger Girls Random Chat App,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Girls Live Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,Live Video Call App Live Chat,Dating,,
0.75,0.125,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.125,0,0.125,0,0,0,0,0,0.625,0,0,0.25,0.625,0,0.75,0.75,0.75,0.625,Y Hookup App FWB Adult dating,Dating,,
0,0.625,0.25,0.25,0.25,0,0,0.125,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.625,0,0,0.25,0.625,0,0.625,0.625,0.625,0.625,Mingle2: Dating,Dating,Dating,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Live - Sexy Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ladki se baat karne wala app,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HD X Live Video Call,Dating,,
0.625,0.25,0.25,0.125,0.625,0,0.25,0.125,0.125,0.25,0.625,0.25,0.25,0,0,0,0,0.25,0,0.25,0.25,0.125,0,0,0.125,0,0,0,0.625,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,0.625,Badoo - Dating. Chat. Meet.,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Real Girls Video Chat- Da,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girls Phone Number Chat,Dating,,
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,Ladki se baat karne wala apps,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girls Chat - Video Call,Dating,,
0.75,0.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,Online Desi Girls Video Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,Live Video Call - Random Call,Dating,,
0.75,0.75,0.125,0.125,0.25,0,0,0,0.125,0,0.125,0,0.25,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0.25,0.25,0,0.125,0,0,0.25,0.25,0.25,0.75,Dating and chat - Likerro,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Online Aunty Live Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ladki se baat karne wala apps,Dating,,
0,0,0.25,0.25,0.625,0,0.25,0.125,0.125,0.25,0.125,0.125,0.125,0,0,0,0,0,0,0.25,0.125,0,0,0,0,0,0,0,0.625,0,0,0.125,0.25,0,0.25,0.25,0,0.25,OkCupid: Online Dating App,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy girls live video chat,Dating,,
0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,Saxy- Video chat random app,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,Hudu,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Sexy Girls Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girls Mobile Numbers For ,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hotty Girl Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yo Watssapp 2023 Version,Dating,,
0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,Random Chat (Stranger Chat),Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girl Video call - Prank,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,girl live video call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girl Love Chat,Dating,,
0.125,0.125,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.25,Flirtz,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Girls Number For Whats ,Dating,,
0,0,0.25,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.25,RandoChat - Chat roulette,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ladki Se Call Karne Wala App,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MeetNow Random Chat Girls.,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girl Live Video Call,Dating,,
0,0.125,0.25,0.125,0,0,0,0,0,0.125,0,0,0.25,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.625,0.625,0.75,0.25,3Fun: Threesome Couples Dating,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Random Video Call - Live,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ZEEBEE - Dating and Video Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,girl video chat call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tamil girls mobile number app,Dating,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Girls Number Video Call Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian girls mobile number app,Dating,,
0.625,0,0,0.75,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.625,0,0.625,0,0,0.75,0,0,0,Join - Meet & Live chat,Dating,,
0.625,0,0,0,0.625,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0.625,0,0,0.625,0,0.625,Real sexy girl video call chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Real Girls Number For Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girls Dating Ladki Random Chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girls Live Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,CooMeet: Video Chat with Girls,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,girl video calling app,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Girls Mobile Number,Dating,,
0.625,0,0.625,0.625,0.625,0,0,0.75,0.75,0.75,0.75,0,0.125,0,0,0,0,0,0,0.125,0.75,0,0,0,0,0,0,0,0.625,0.25,0,0.125,0.75,0,0.625,0.625,0,0.25,Muslima: Arab & Muslim Dating,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Online Video Call,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uk sexy girls live video chat,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sexy Girl Video Call: SexyLive,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ladki Se Baat Karne Wala Apps,Dating,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,YouMe Live - Video calling,Dating,,
